Feature ID	Frequency	No. of Samples Observed In
9e3226efaf559eb14a478f880462cb8a	11,283.0	41
2740cf2417c92847cc298cbd71dd1fcd	11,262.0	33
9d5054752ed33d6a22bd0f96b5618b1c	10,960.0	29
ec6732c2e0d4cf64b3d0350e7fe3defb	10,910.0	79
8df399e29acb5a583f449a82db4e17c9	10,682.0	36
6d7f932303cb8ce3b13ec6d15b25682e	10,322.0	4
1569f7ae988e26c905ab8fab427c8a0d	10,060.0	74
9db6065dfa5f306778c1a370f3267d73	9,883.0	26
332a6411ff00b4010ac2397f504c4695	9,489.0	50
f4e78e2e397dc8bd3ca2f87c245a8773	9,021.0	5
ab4040fe8717efa3f115680ae82cd72a	8,923.0	51
c66ec67719e54d2cb0afc3154b3c23af	8,268.0	14
b1f0b65b560701f74c4f43db4234d6c9	8,250.0	24
2ef1e51ab1cf99a3c6417b05a060830e	8,236.0	21
29daaf94c6c9c41e5044aa321d18a306	8,031.0	22
df16a09f3e448ddd3b1ec54066d3081d	8,012.0	63
8be9dac75adfd36649c004c8b72de91d	7,969.0	13
27f098662c8f87b4aaff903d9c0f28d3	7,877.0	82
818434292143daca42a3168f3728da82	7,755.0	49
26c6e3ed14694582e207478c1f23c21f	7,666.0	56
a663a01aeb4dbb88bbe0a9840e8f64dc	7,603.0	75
eafd20ce1f25fbd8c737f0086f81c11b	7,579.0	3
c83c84c8f82639c3bcb16c5630f257b2	7,548.0	11
432c814024bdfd89d3273986167eefb9	7,477.0	32
8538d07b8c1e8676f9b9c8c242aab14a	7,442.0	53
596db8ce20ae5cbfdc338a62f1bed1d9	7,179.0	73
173c825a18291f2ba18b5e46d9db8408	7,006.0	32
6616dc3bd6aeb3e26b9b2218290ea574	6,943.0	13
e4ef1c7b616eb842c0ff7a327e83bd76	6,789.0	20
cd9401a6bce4a63af516d06d2a843f9d	6,568.0	22
a443e786f67086749ef29ce0ab494c9e	6,489.0	11
48045a6c47b911507a450df5e0ef582a	6,255.0	6
edc9e5c16e40aff1eadce6597940f08f	6,091.0	90
9192b3275c36e56540678451adfa601f	6,057.0	31
d9eea834805833ac21a86fdabedd8556	5,877.0	50
9fec7bdd6bd88e710bd69b15692e54a0	5,865.0	7
d622c6bc1d5e3a4f0403d7d208981372	5,625.0	44
149465e40c1bdbc6230588a58a4d6eb0	5,592.0	99
8d5153b41e59c5ffb5a1fc080eb784cf	5,549.0	59
c67445ed68d61f49e41b7bdd1de019fb	5,535.0	56
3265d4af36c9111eeab8366f034a548b	5,437.0	7
243a590b7a6c17e5a16dff4bc7033ac1	5,406.0	8
40874d61006874f7c87d904707d320d9	5,305.0	30
5c4563e3dd7e12dcdf279783af929eaa	5,294.0	37
87c18e8ee3789954404f2c1a35079a09	5,265.0	31
68d79c3035521e82b504b081a197d2ed	5,187.0	60
dd918c333e5c4fef9c92068fddda1c3e	5,156.0	27
8795c5a86013864dc11f24b89e8cdd8c	5,049.0	19
d71feb1923fa288790187009e8efa6d3	4,986.0	59
e2cfe099d4a73a03ac5f80d4f8369dbc	4,962.0	58
65990c74559e4adfaa672a884ad7d464	4,926.0	43
e0a1b9138d7feb9cc23adcec2e672250	4,869.0	15
0190302afde8b64d231ef9931ad36b25	4,751.0	16
2b89ce136d3773b8a3b5650166760ae4	4,667.0	8
c24f4c30a6a4e2b91af0b54847f2f82c	4,666.0	3
883b586b675d89530ca639b5062b6fe0	4,658.0	7
77c2dc197e6b3dbebc4ee240c6a1c559	4,654.0	92
fc00ed40b15cd5fa384b672502a3adc3	4,609.0	30
8d0960075b9fc8ec7a5ca93e13c36da4	4,606.0	9
c1df75b5732336ae58bbcf0736be0636	4,585.0	6
5149bdbf03de13bb38557d48d5141b87	4,536.0	47
8d703908c09c7cb0da2a4398dd74f9f8	4,281.0	40
d114fb4c335125128be28401522dd41a	4,242.0	41
742e1f191223f58590661de80b9d6e3b	4,194.0	25
fcffedae608fe4871be42936a1cb523a	4,167.0	26
e502ebea2a54a6f839d310d6d57e7d47	4,125.0	13
5fbc483f79cd97d3a7253931f37c33e8	4,108.0	77
0903cff89814ec3108093aba58db17ae	4,095.0	5
44638281c0a8a53e37d1e4ef31260791	4,080.0	23
3916a456bb0a3bfd02c15fd537ff5923	4,049.0	22
fbd67349783ebeacc69814257b694d56	3,952.0	20
ee72ee97db064e5d745356f479b9e576	3,912.0	9
b57f761aa26e40ee12a75e6d80094b19	3,908.0	20
6e65d41dbc73e498e5751495af35adf3	3,839.0	7
ab9899b443255cd34e51705c7b8ea201	3,798.0	30
40c00caf4aba9abc8cf5384e6e8e438c	3,783.0	3
2db5941498c1b38f7d9ee98e309264c7	3,780.0	1
30690ef696c7a62abb635e5ec1c8e2f1	3,746.0	4
31654b0fabcee256ee93ddfc89c8b048	3,693.0	12
e0cdaf99e96ca363991154bd1da46a59	3,570.0	28
c54ecd701d322d197b9000b235740969	3,544.0	19
1b92901eaf73176b86069084ac8c13e3	3,540.0	33
42d4d418616b1ffd02972116857e3ce6	3,416.0	22
547ed9d63f007845c48db64ef3e5aab6	3,206.0	28
5f8d35126b0a7321413d21487ec72b73	3,173.0	49
f16de2a4a6dd4174f4627dfbe084cf87	3,096.0	10
1b23e74fb43b2b8a2d20b91679cf8e0e	3,087.0	18
7af6fc12809fdafab918881f836460f8	3,035.0	7
581a55014641e1cd55cdc272c0365a28	2,974.0	30
feb1c288cd46f6fd9bc3c2c35970cbdf	2,944.0	4
2de5ccd5d5d8484edf5b47be19c7687e	2,807.0	19
d20b46e3c9d79a8e49a48f112fc03d4f	2,795.0	27
caea322863a57bb2b14c7317fa120dc4	2,789.0	36
76a2a89fb35336e7b117fc44ff915092	2,767.0	12
0243b68c76049aa1b8c51a20333da950	2,763.0	55
ca94cbcccd3ab51b3784a6aed45a4a04	2,750.0	14
66a9101067d5d8c3ba7bb71b3043276d	2,749.0	12
24646f903382ae52da1b45805982e09f	2,749.0	33
be5cc85bd2ac16b6ae446fd24b1e2308	2,725.0	22
452e8489334d0ba0cf7eeccea28f1364	2,711.0	44
629f41c0de31ba20f5d2b3f4c69e09c1	2,690.0	69
db7f42d2a4ded289e177bb4c00edff61	2,688.0	31
45c80843dac191f771b11018ff90d94c	2,666.0	27
824b9c5e131ccef5ab3286cfde31640c	2,665.0	32
a18c0c17fce3d52dc60506e8730bc996	2,645.0	33
c01233a463b6ffb98aaeb317ba934c36	2,640.0	14
ad139328ba8ac39c2e5ccef543df2deb	2,621.0	24
506ee17cb5d882636086031fa2232f11	2,593.0	9
bb7e5c6df18c100b97f890fc35eb2911	2,553.0	16
9984cb69ccbc872cca3220a63ad72684	2,481.0	3
517b36b986012394a442af4336b89612	2,432.0	10
6c7e2cfd1953e79718943adc7549e345	2,376.0	15
dd80e0a50520c9481217ccdf670781a6	2,361.0	19
8ca0b9917d926bb6241ce6e23673fce4	2,343.0	33
871b99772b7ead3ed8a217f566729af6	2,343.0	26
91587a85e342f8dba27f54e15ac0ea77	2,327.0	17
7f9c14ef4eb251a43b71add4c10a821f	2,307.0	41
d900eb33f6b4bc449aab64df16ae18b2	2,304.0	17
b4bb370a59f2637d406ccc0f5a1b2a1e	2,292.0	20
33ba975cdb88b5073a2355ffdf01e9cb	2,226.0	20
7a3090aa682623800304aca0da51c22c	2,218.0	24
66063c3a2e5cc0fd8b0b301cdbb7c0ce	2,208.0	40
9ee9d7f1e7a96963f1ee2668f858fced	2,127.0	8
4e2e6735331ad01a30c94d2f4c285dc2	2,124.0	23
9b12ea14bff8a37dc1d39b36b5b904d6	2,098.0	38
3dd7acf39ab927348aafcd8acb08dd9a	2,093.0	20
7f85ac088481e3811666998c6ba22231	2,063.0	4
16530e5b50b780018210dac05a471715	2,051.0	14
735cb9abbbc8ff2b5b354be608a3a869	2,037.0	8
69310a7cff9f6b902cdfd08243784ace	1,999.0	52
2c6a6015a325f35c1a5c8ce7a44a5e3c	1,997.0	8
506efac48dc5d5be2c0122c381639a3f	1,962.0	19
dbcdaca3ee9e9fe75d8829e87b8551dc	1,957.0	24
6e57b32b545e72b802822e1554c70868	1,934.0	10
5aedf0f91ae6d654bcfca7f68262deb9	1,915.0	4
6996516ddd4cdd55504f3bf73eed8de0	1,910.0	17
5a2e42177ddd0fd0ac60765af28c9a27	1,906.0	2
58bd181f757283f5a4ceebdf90ff6243	1,891.0	30
3997b3a27af40fcde972d5a58c3bd513	1,849.0	12
0ba92b5d91ba43524ebc6ea1ae7c5a73	1,842.0	10
84f9cf6d08ccc7adb4e945c4fd8be494	1,826.0	8
421cbd1d71d34704c6d53377261e213c	1,816.0	34
2de0f958e30d26f04cba8d2a920bbe46	1,800.0	15
90e279418671e739f0a094f5e6554df9	1,797.0	4
f762648e6e16e9eb6ba9267d009d1d58	1,772.0	1
2ddcc1df851ad58c6aa5c1d335e28024	1,766.0	6
2402b8de80b4e08a898a4f1e7e3a7f8d	1,766.0	1
a3159dc8d1f6695edfad0162b013cc67	1,748.0	8
5df1c5c06a1966d13b17f1f5df672777	1,695.0	13
24cccadb274fef1f88113e8f019e2a63	1,693.0	35
1926679bf52691b7a4a3844bf10e6d38	1,677.0	11
9580aa8a52ec18a4e92e701cdb595faa	1,665.0	15
e220e84c750738e230e8ecfe97decc4c	1,662.0	33
cf0e29b1acfd7c9cc92b326cbfc88908	1,662.0	27
e7cfd084265c4df4856ca07b1c9b24ee	1,640.0	29
9a7134ae7c756e51b6471bd792f9ef10	1,637.0	3
b9bd4ddc71b5261571e53f606451241d	1,634.0	2
a89d78924d17e8960959723e458e9291	1,624.0	17
9e9c4270966cf507485654eb33a69880	1,599.0	11
9624ce4cefb03530aaafca65b645cfcc	1,592.0	14
98733e7d335f309921890faeea796c8c	1,575.0	17
0e226d197c2f253bcee5f15026512f90	1,571.0	17
5f85c690ddb79750df918f37822ad257	1,566.0	5
b354a1e7a29c4f05aace7e65edc75c7f	1,565.0	30
47c305878bfc73bfeda34b2ae1a82ee1	1,557.0	6
5ab31ab07217b5962bec96a3fd85a0af	1,557.0	12
561b9c6c63a86380b2ca3b5d723e61c1	1,557.0	1
615f25fd8aeae2687010b389ee2ca265	1,552.0	1
3e9c84b5f9b7e453d160e50b7d9933ce	1,534.0	1
aefb133c70bb57e67c558c826ca32e1d	1,527.0	3
e9f900358bb9297e10b9fbb1321b1e6e	1,521.0	34
9bcdff78f108f90ce33eea9907c345d2	1,508.0	12
d55772167dea9256aac77646e74a5994	1,506.0	6
c0f9afc03ac59992eccc5e6fc3a38ec6	1,501.0	11
1d49df56b83a383d8b998af9d148f52c	1,495.0	24
9ea77e95fbfd1a99c9c28db3b03a01a8	1,487.0	9
973ca62579b1246f54829278d51475ea	1,486.0	21
69b90707f6f3da7941026fbe6a1597ce	1,485.0	32
d8e7f9181e4d5a4a6453e9ca9996a43f	1,476.0	22
664667183a91ac47de4771fa5456a698	1,465.0	37
756e9c33696716a5484135c832f18f12	1,459.0	17
880005af6ed906f0687f0a3f95a078d1	1,450.0	20
601101d33cdf43a40bd674a50711af52	1,422.0	16
4552af3e905206840cf8b67bcaf2693f	1,401.0	3
8e248f6dda97209ac7fb30767c3c4a20	1,393.0	4
fb34de97cd15c0e9003849ad566c9bb8	1,392.0	4
2c5e87b291147c04e1b8d1c808b1aee0	1,387.0	9
2eb4228d8c45f9ed534edab551410499	1,369.0	2
d10f0491fe349c60109baf57611af72a	1,362.0	9
da8644094f1d480f3b3a6a03a7027ab4	1,359.0	30
bc7f6c40d5f8e134763db884ca78cb1d	1,348.0	11
02b4317d07dfa2d4bcf0b885431ba6ce	1,347.0	9
e657205bc51c1db7e6a38c33a084749d	1,335.0	15
545897c06d99e94bc65d6bab8099d98a	1,328.0	4
2ae38d977b4e4ef415981f16eccb6b25	1,318.0	4
67e8859e108281ee7971084bfa759522	1,309.0	30
66829becceb306e439f7edc72fed5337	1,278.0	4
c82c7b675ce5c6a0d3eca83879abf4aa	1,276.0	14
b0fe86f49a738effa17cf10fd0af4b6c	1,267.0	9
4cbfff144d4e7a4e0f4619ed505be070	1,259.0	5
8a64a5eb9ff2c725d5a4051770d96303	1,232.0	11
21dcfff18d552ae0ca669d213652bda3	1,231.0	7
119eea33cb9f505d6a20297d132e792a	1,229.0	18
aebc844e85c60d5d73ce7a516d9df261	1,222.0	9
33deb57a51743c338407d5c7e9b6f5fd	1,206.0	11
7cada1d891ae2e5952d684f47505c86d	1,194.0	1
6fe33250c45ddbda2700682431270ddc	1,174.0	4
868be84b9daccd25a648f872c8d5e9ab	1,171.0	11
0dcf5023e96fb8175d7bf02d900c9dd1	1,158.0	7
f8d0d5caceea62f4be2477d29163f163	1,153.0	13
fee421dd182111e1d718ac10decab1e9	1,149.0	34
4912cd4c1f9a773f88a73c258c25c825	1,139.0	37
7ee3e4343242684ba3ce459672348ff7	1,130.0	20
569653b1659271a290facfcedd0de061	1,129.0	6
3d7aafb08bd87d7992e6ab8fcc361d4e	1,101.0	3
b2741138ce29dc0326e71b1800246470	1,100.0	11
9e701e82d552ee66d9007fa3883b6560	1,085.0	11
8319d3eac517cdc6eac67429141a4179	1,077.0	7
5687d68a07d7abcbb4cf0ccb1b216417	1,062.0	2
6a3ad6c4f1426b49701f60b671ae12d2	1,054.0	1
f73bc660ad02cf25a2e30bead37e34fd	1,033.0	8
ed66913c64e880ea0b4cf78c59280664	1,026.0	4
36d9ad396b85196c9b4cf68b81789585	997.0	21
22424eb53c259749d0d5cf4f45d18613	987.0	8
87ecf7b10d0362d047f4c04b037fdbef	976.0	2
2084f48082d0e7376174d0dbe6af5c82	973.0	1
9484afed9f64641667938e294c07fe7c	969.0	11
1596fe4a4e68143d829e8e982d2f398d	963.0	3
52573485a4521e007e4c5217fc5d7c68	951.0	25
1b5ae068b60b3c92ff823f4e6cdb9317	934.0	5
baeba615f83e60cde6f2d1b1b0d2ab78	925.0	3
4d34418916362764b94c026bdab4127f	915.0	5
6db169339ee5897780e713c44784d74a	901.0	2
b621d4b3cca1ec89ceca12efca8a94fb	888.0	11
3bac14d2805bf995afe9d316a5777b1e	879.0	11
df8456a1abbfb4c8a2c450b44378d4cb	871.0	33
878fc53ff6f6333a92673b700951fa1b	870.0	15
efa231614a5eb97a385a5cae7b440348	855.0	20
4d334598e144b1d31c0b92a301b5cc68	855.0	10
ac204ff88c01fd60e7522f34e8984860	854.0	11
11f0558dca37009cbf1a6083b0b658e5	851.0	4
b1d8e09561b600103cc3d8b388c02478	845.0	13
e245e78180c94721cfe8b77b104af0bc	844.0	7
9f02839251e1419ee447381f263b14ed	835.0	5
5322567d7de1d94e6cf65390deb29b1c	826.0	11
8624322ae2483faffff421f46f814fc2	818.0	3
ef6a209f17415ca40777d4f3e0459647	814.0	8
8aaed79d6563ff7925c774e39b662a14	810.0	12
7a6dba47692f821cabeaf266b6b36593	809.0	5
b0e56c25ca193e27096e8fb4eb560eee	807.0	25
31774b2ab198d7b5abc9f0d6e8a5ffc2	797.0	13
202fbe901b89ad25ca6fd6f2014bc635	786.0	9
6a0f292d9b54ddccc01e0e2364e65d8a	785.0	5
72ec78ecd4c30c1ddc64900630f35387	784.0	20
208c0c43c7c5d4a6bb549e0c8365cd21	781.0	9
3219af75ee8056ed06ba81e873b0d0cb	780.0	8
260bf94087341f33b5fbdc6db681ef3e	768.0	4
41ad16e403c86dbc36bd2b11d8754ae2	764.0	4
05ced1bb366fdd6fed30dfb328f6acff	760.0	1
e367dacc4cf58de7164775e5899d4ab2	757.0	18
d56fd4c21346f6d694c7e638f6bdcb70	752.0	33
70745fa69950bfb64db28e3afff2b1e5	752.0	17
77899213845055b1effd51c039de7163	748.0	2
f0015c3b64e80303ed3d858f0618bc43	745.0	17
12cc4c8a5d46fec0b6738bfe7c6c8a08	738.0	3
a72bc4bbcb65e31aac628de5b9a9b0af	737.0	31
850a27193585ddf5fa15610c623b9fc6	737.0	12
a730ef0685ea600be854be1842a6b362	733.0	13
7920124708240340051679f45a52cd4b	728.0	8
eef6975690772f8eb4037e7200ebe8eb	728.0	3
2c353937b82f39126e9aeead6f624ac9	722.0	2
859d00ceee35d471060a6b6e71ac245e	710.0	1
38eaa8f3d127290bf06b9a82171c37c0	709.0	6
461be013d5ea40d5d70abf7052f89c7a	708.0	1
e1dd68d3565bc13c4852b88a75058d64	705.0	3
2c0c62ea09b2efe01bacdcbcf558d2b8	704.0	19
8fb773e61e6ee7f5e0fde91cb4d2df09	701.0	14
05dbbf0301a9625e1f1a41470a92f7fe	700.0	36
b6ecd20f301035741915d6c32bda2410	698.0	3
b892a377de283ef34540e60931454d35	698.0	4
5b0edc603b8434581fd57e66b0d2da73	688.0	3
068b6a2f9fae577ec7350ded580a2fdf	688.0	1
6eaef2dd2e8097421a196c104a2b76c8	685.0	14
0ff809897cf23e85636e33b757247103	682.0	7
77a52ece0d9da550158abfebf9162d14	680.0	6
2a7169b7465789a82b4f47c3d934d259	680.0	9
aff3962bbd7607a2971161d9840ca409	679.0	13
ad9b44d88a18bbff3f5238c0c051e11b	678.0	6
c84d13308b8608a006759b82fcb5e4ac	678.0	12
aadb64740f67f5be0af0ef3b613866d7	676.0	1
8674dcf0cfe35939037fa9a5b986866f	674.0	6
6f980c6f3f2ffefd2013c721461cc1c6	667.0	53
46994e329da4f3393a8495036589323a	667.0	6
09f9294499192d4eecf29e85501cc425	664.0	4
d6d857679e85f77b060f4b6651217212	663.0	4
8399c03f3132cccfd97d7a97090dfc0f	662.0	3
a40a374c70cb560c2852efaa5cf6db20	662.0	3
6ba98911efd5b1fa1cbba9f869562cce	661.0	8
cc6a59faf758212eb8ec5dbc2b968f5d	656.0	1
f8d7d660ef4336007263541c286b045b	655.0	4
53d2351a74c69dd99f19a791c81a9370	649.0	8
9c4d4b6d306824a963a9ea03bf5ed140	640.0	2
7814c2b485cc601b885f117c70bbdf5d	639.0	5
2489471b3729e885a2c1ddaa10774d8e	635.0	14
e039554b1f3ff16d39369c5b7a2d9605	627.0	5
69659d7edd60cd37bbdc9e3bb7f77431	626.0	16
fa3d2114cfb8f1e6185bb490a3548733	624.0	5
c7710d6f144476667c42e65e2ec71053	612.0	22
bad9806ab41859949a051d4c20d23bf3	607.0	7
c77e037794401694fa3e138fcea80310	606.0	1
6acfe69f470ceebec0cce442b1190fa9	606.0	6
f98dab4619ff896a9cee45a9b9ddc792	602.0	26
4e42039735d5e412a6873a2fbcf92410	601.0	11
f01ec5d5a6e93abb49aaecb9523d7a92	594.0	2
55e8fd9e2a3868ef69575fcb459fc7c5	592.0	4
72767c3837c14ece49f60644813bc728	591.0	4
151dc3710be852488064098205bb884f	587.0	7
bd2ca363f08c9385869967132dfb8470	582.0	1
cc64693c5e56c1ffa36e0de60b4820cb	575.0	3
b5e0a6477e69e223d49eedc2c7c1b138	575.0	18
d8147479a31fc5a28e4f606c34ce2627	573.0	1
c667664df1fb6f8705f9a8a861370a72	568.0	5
df666cd057dd29528f002b915b8e105d	565.0	1
b18d893504d87bc4f5fa46ff3229b88a	564.0	5
4f983ab505c9e0936ecafdda621aead9	561.0	4
e0cbdf14b6d897fcc543bcda30ecab1a	557.0	2
96040114b5274bdb987f28c63b6b6b87	550.0	10
496d7f479392def9414da33c9137e40a	549.0	7
3b2bbf917d1fbef6b0f2aedd57b80ed2	549.0	1
05ff375f501b831cdc28113494f487b1	549.0	1
5ca4ec70e0319aa4e6e75595df17d8dc	542.0	11
84f2b6a96a9b99bd8fe455b19db509a5	541.0	1
1e0296c7b89d1cd0d4d0bc8bf16822fc	540.0	22
eae880eaa9c99650e399d9b4eb5dd3b0	528.0	4
07699fa14cb8970eee5e8dda19dd5dbe	527.0	8
21401b105dc53b367b8fdc0ec97a9f02	526.0	7
0af7f7143766d1d0cf145b19ffdd3f43	526.0	1
854196b57620ef48a4a7bae87a6cbb57	525.0	1
c7d19e18132944066131f5f138ba46f2	516.0	3
2f5aec7a7b202c2d8d6be290faa11c61	515.0	2
edf42f357f8934fc004c334c5c7b5e6e	504.0	4
e34bae2ab1f4c6c95ef0229dd5bc6ae9	502.0	4
a891fb44241e433fa8acf251ef4d328f	501.0	7
4a4230232fbfa3b8cfd2cae77dc6feac	500.0	24
d1a75593a480570277f05ec729b865de	499.0	3
11b7d5a0dd0446562be236a4a9144c75	498.0	16
6afbda63b0750231cd586b402d745cd8	496.0	13
32cd36db3b176689d81c65ddb6c17140	496.0	5
454ff5fa8a3c6b293cea935aeb9cfb8e	492.0	4
df14354ec277348c54d0c9dd49eb4da0	488.0	9
5c74ba2a11ae3d0b382f1d1843692e02	486.0	1
f50508546ae13143015f8c4cb976d0e4	483.0	6
f49652d00eaf0e36860806dfeffd1497	480.0	3
56bde454092279f47b556883d5909620	479.0	13
70ba7f010c09d57ed2362bd06da989eb	478.0	20
ac603e12c4b975609374395b148a0a79	476.0	29
fc9c481709d80a0dd302b2438f7ee971	473.0	4
2e81e4d1a54e1636af43e46fa332ab11	470.0	6
5d08d1eb4b8a0672652dd0fc0af2dcf0	467.0	7
99bccd58aaeb00f98e22add40be6e36b	460.0	9
0d116506c8bf866b0258161f295b80c8	458.0	3
ab149525cad479f6599c7923acc49691	456.0	8
ff772f18ec3760046ea9dd413fc88de7	456.0	8
49707d04071677bffeb9de04f1bc5b90	451.0	1
708b000c48dbefb1454b79108d2a1f70	446.0	3
dfba942f2d36cb6b7755f9c3b6d01ac9	444.0	3
5555c5bf88472f0665cb7ca770d4a5fe	441.0	3
b9036fe313cc847af4a7a9d5da8316bd	436.0	6
1dd6e3d65157205bdac9250c900655f0	433.0	3
b4f28264f150902936030ef29ce2a10a	424.0	27
12f9203b937a20a91b08aab804b28cd9	420.0	11
a333ee090a52b582e1a0e2dd776eb937	420.0	10
4624d8b499cfebdb51299cbf4fe6d733	420.0	7
cf57e0caecbced445113fa2455ca9e79	418.0	1
e5cc65338a0f1e3bad2771db04694b39	417.0	1
3d675bc2e3ca7ae2dbd80044122f82b0	413.0	3
764e0d767e913941c52ff12d1eabc915	413.0	9
40ac3979c05fe30df6ecfaaa78ae3e9f	412.0	11
139f3606221ee22a0da037f401753c11	406.0	7
ea8403c4897e45a0852866192164b325	405.0	3
74d00453af710b4c6f0b311ed3e450d9	405.0	1
0a906e6d6a38cc16f01495380044a0c8	398.0	6
c7e7cbf52b5ade57d3638adcf7cc379a	394.0	2
662a40a2523f7669fa865700fc74a1cf	394.0	11
87baa4145e20198595f2b4ae8c024ae5	394.0	1
a55a010c9525ce2943a553dca1421b1c	389.0	4
ca228736334356da84bc09143c3fff05	388.0	3
74d519816d4cfb9cf4ec9605f76301d6	387.0	14
396ffa76286336a3eeb1ea420e60f86b	369.0	14
ed8746a919274371bea412882a1c6bb5	369.0	3
9e1f282914b07cd79711ce21e7cf4aff	366.0	12
36c3c3e931ebb36c143c46739b848668	363.0	14
a08e028e952d23166b1e7380f41ccca1	363.0	2
ca647fe90e501808421954e5fbf9faa6	361.0	3
b5a69fb7a66fdb2bf437bd286b439706	359.0	6
ba64f4fa502258a89d2b7468af3cbb28	352.0	15
16adc68bae4d98a05d6a268956eddf7a	351.0	3
e889880b1157bebf05922692774ac7bb	349.0	6
06f825b512d903b9230e1a55d87359ee	346.0	16
289fee43bbd7527b27f704a42c89be0e	345.0	9
bc2df99e72521775a2ae550c50356f1a	344.0	1
2fb5a4a7d5e419920ec9257327a118ca	339.0	12
f4d343ce09801b58c0ea30e46c73fc64	337.0	2
1a3af659e20f20ba69ce3ed6080723de	330.0	1
de68af3f62b2b04e42f894e18839bb57	324.0	13
6ec1023583647a401269990c4e8ad716	324.0	6
