# Constructed from biom file
#OTU ID	R009_14d	R009_30d	R009_7d	R009_before
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gauvreauii_group	0.0	0.0	0.0	0.0030042521723054167
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia	0.0013263303093002281	0.0	0.002051413552150779	0.0
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005	0.0	0.0	0.0	0.002264743945276391
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter	0.0	0.0021556148634777252	0.0	0.0
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Acutalibacter	0.0	0.0020016423732293165	0.0019873068786460672	0.001294139397300795
d__Bacteria;p__Bacillota;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus	0.0	0.0007185382878259084	0.0	0.001340358661490109
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas	0.0009549578226961642	0.0	0.0009616001025706776	0.0016176742466259937
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas	0.0	0.0	0.0	0.0014790164540580515
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	0.0	0.0	0.0	0.0014327971898687372
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004	0.0	0.0003592691439129542	0.0019232002051413552	0.00013865779256794233
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium]_siraeum_group	0.0	0.0	0.0	0.001294139397300795
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.0	0.0	0.0	0.0012479201331114808
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis	0.0	0.0	0.0	0.0012479201331114808
d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella	0.00010610642474401825	0.0009238349414904537	0.0	0.0
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group	0.0	0.0010264832683227264	0.0	0.0
d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group	0.0	0.0	0.0	0.0009243852837862821
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter	0.0007427449732081277	0.0	0.0003205333675235592	0.0
